Model,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC
RF_Default,0.8423741182194113,0.7783270713861974,0.9574312819265386,0.8586387434554974,0.9458859390895593,0.9417797537138359
RF_Tuned,0.8248601313549014,0.7710574386036128,0.9241060569204573,0.8406727152024784,0.9101993092320553,0.893997633868527
XGBoost,0.8004135246898565,0.7567567567567568,0.8854293359279981,0.8160520121062661,0.8745582110540978,0.8420153214963815
RF_Tuned+Decade,0.7726830454877159,0.763516690173954,0.7900754074434444,0.7765690376569038,0.8553103222122231,0.8326919052056256
XGBoost+Decade,0.758574556069083,0.7494134209291412,0.7769399172950621,0.7629284605278872,0.8409242641012559,0.8136869973930532
LogReg_Pipeline,0.736803697397227,0.7121377206363042,0.7949404037946971,0.751264367816092,0.8099477222947421,0.7706769129221795
LogReg+Decade,0.5138652396010703,0.5070335636722606,0.9995135003648747,0.6727793696275072,0.5935195846280079,0.5515970393536056
